faculty,programme,entry_requirement
Faculty of Engineering & Technology (FET),Diploma in Mechanical Engineering,"Entry Requirements Pass SPM/O-Level or its equivalent, with a minimum of Grade C in at least three (3) subjects inclusive of Mathematics and one Science/Technical/Vocational subject and a Pass in English; OR Pass UEC with a minimum of Grade B in at least three (3) subjects inclusive of Mathematics and one Science/Technical/Vocational subject and a Pass in English; OR Pass STPM or its equivalent, with a Pass in Mathematics, English AND one relevant Science/Technical/Vocational subject at the SPM Level or its equivalent; OR Recognised Certificate in Engineering/Engineering Technology or its equivalent; * Possess an APEL.A certificate from MQA for admission into Diploma programmes. Note *One (1) year of relevant experience or a minimum of one (1) trimester of bridging programme is required for recognised related Vocational and Technical / Skills Certificate or its equivalent. Programme Structure Core Trimester 1 Basic Electrical Technology Computer Applications Engineering Workshop Technology Physics for Engineering Trimester 2 Algebra & Trigonometry Chemistry for Engineering Engineering Drawing Trimester 3 Calculus Engineering Mechanics I: Statics Trimester 4 Engineering Mathematics Program Design Materials Science Computer-Aided Drafting Strength of Materials Trimester 5 Fluid Mechanics Engineering Design Engineering Mechanics II: Dynamics Thermodynamics Trimester 6 Final Year Project (Part 1) Project Management Trimester 7 Industrial Training Trimester 8 Final Year Project (Part 2) Measurement and Instrumentation Engineering in Society Introduction to Industrial Revolution 4.0 Elective Modules (Choose 1 Subject) Introduction To CAD/CAM Introduction To Quality Management Introduction To Operations Management University Subjects & Mata Pelajaran Umum (MPU) Communication Skills: • English and Business Communications in the Digital Age Character Building Program: • Character Building Courses • Environmental Society MPU courses: U1 – Falsafah dan Isu Semasa / MPU2133 Bahasa Melayu Komunikasi 1 U2/U3 – Bahasa Kebangsaan A / Any other courses in the U2 or U3 category U4 – Co-Curriculum Career Prospects Mechanical Technician, Manufacturing/Process Engineering Assistant, Equipment Supervisor, Oil & Gas Supervisor, HVAC Supervisor, Energy Engineering Assistant, Automotive Technician, Machine Design Supervisor, Project Engineering Assistant, R&D Technician etc."
Faculty of Engineering & Technology (FET),Bachelor of Engineering (Hons.) Electronics majoring in Telecommunications,"Entry Requirements Pass Foundation/Matriculation studies in related field from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in Mathematics and Physics; OR Pass A-Level with a minimum of Grade D in Mathematics and Physics; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and Physics; OR Recognised Diploma in Engineering / Engineering Technology or its equivalent with minimum CGPA 2.00; OR Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*;  OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes.  For more information, please visit https://www.mmu.edu.my/apel-a/ Note *DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Algorithm & Data Structure Circuit Theory Computer and Program Design Digital Logic Design Engineering Mathematics I Engineering Mathematics II Electronics I Electronics II Field Theory Introduction to Machines & Power Systems Year 2 Circuits & Signals Computer Organization & Architecture Data Communications & Computer Electromagnetic Theory Electronics III Engineer & Society Engineering Mathematics III Fundamentals of Communications Information Theory & Error Control Coding Instrumentation & Measurement Techniques Microcontroller & Microprocessor Systems Year 3 Antenna & Propagation Communications Electronics Control Theory Design Project Digital Signal Processing Electromagnetic Interference Multimedia & Communications Networks Mobile & Satellite Communications Industrial Training Project Management for Engineers Year 4 Optoelectronics and Optical Communications Project (Part 1) Project (Part 2) Elective Modules Advanced Microprocessors Digital Wireless Communications Embedded System Design Java Technology Knowledge-based Systems Practical FPGA Design & Interfacing Object Oriented Programming with C++ Radar System Design & Analysis Random Processes & Queueing Theory Semiconductor Packaging & Test Telemedicine Technology Data & Multimedia Networking Imaging Radar System Parallel Processing & Programming Radio Network Planning towards 5G IoT Design and Interfacing Theory of Inventive Problem Solving (TRIZ) University Subjects and Mata Pelajaran Umum (MPU) Communication Skills/Law/Ethics: Engineer and Society Law for Engineers Fundamentals of Digital Competence for Programmers Character Building Program: Character Building Courses Environmental Building MPU courses: U1 -Falsafah dan Isu Semasa U1- Penghayatan Etika dan Peradaban / Bahasa Melayu Komunikasi 2 U2– Integrity and Leadership U2/U3- Bahasa Kebangsaan A / Any other courses in the U2 or U3 category U4 – Co-Curriculum Career Prospects Telecommunications Network Engineer, Telephony Engineer, Switching and Transmission Engineer, Broadcast Engineer, Wireless Hardware Development Engineer, Radio Frequency Design Engineer, Embedded Wireless Software Engineer, Mobile Applications Developer, Telecommunication Equipment Engineer, Project Manager, or Sales & Customer Support Engineer."
Faculty of Engineering & Technology (FET),Bachelor of Electronics Engineering (Robotics & Automation) with Honours,"Entry Requirements Pass Foundation/Matriculation studies in related field from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in Mathematics and Physics; OR Pass A-Level with a minimum of Grade D in Mathematics and Physics; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and Physics; OR Recognised Diploma in Engineering / Engineering Technology or its equivalent with minimum CGPA 2.00; OR Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a/ Note *DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Algorithm & Data Structure Circuit Theory Computer and Program Design Digital Logic Design Engineering Mathematics I Engineering Mathematics II Electronics I Electronics II Field Theory Introduction to Machines & Power System Year 2 Analog & Digital Communications Circuits & Signals Control Theory Electromagnetic Theory Electronics III Engineering Mechanics Engineering Mathematics III Instrumentation & Measurement Techniques Microcontroller & Microprocessor Systems Power Technology Year 3 Automation Computer Organization & Architecture Design Project Digital Signal Processing Machine Vision Manufacturing & Operations Management Project Management for Engineers Robotics Industrial Training Year 4 Advanced Robotics Project Elective Modules Artificial Intelligence and Applications Communications Electronics Data Communications & Computer Networking Electromagnetic Interference Introduction to Computer Integrated Manufacturing Multimedia Technology & Application Semiconductor Packaging & Test Theory of Machines Additive Manufacturing Advanced Microprocessors Digital Control Systems Embedded System Design Java Technology Object Oriented Programming with C++ Practical FPGA Design and Interfacing Quality Engineering IoT Design and Interfacing Theory of Inventive Problem Solving (TRIZ) University Subjects and Mata Pelajaran Umum (MPU) Communication Skills/Law/Ethics: Engineer and Society Law for Engineers Fundamentals of Digital Competence for Programmers Character Building Program: Character Building Courses Environmental Building MPU Courses: U1 -Falsafah dan Isu Semasa U1- Penghayatan Etika dan Peradaban / Bahasa Melayu Komunikasi 2 U2– Integrity and Leadership U2/U3- Bahasa Kebangsaan A / Any other courses in the U2 or U3 category U4 – Co-Curriculum Career Prospects Robotics Engineer, Industrial Automation, Control Engineer, Automotive Engineer, Manufacturing Engineer, Production Engineer, Mechatronics Engineer, Engineering Academician or Researcher."
Faculty of Engineering & Technology (FET),Bachelor of Mechanical Engineering with Honours,"Entry Requirements Pass Foundation/Matriculation studies in related field from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in Mathematics and Physics; OR Pass A-Level with a minimum of Grade D in Mathematics and Physics; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and Physics; OR Recognised Diploma in Engineering / Engineering Technology or its equivalent with minimum CGPA 2.00; OR Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*;  OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes.  For more information, please visit https://www.mmu.edu.my/apel-a/ Note *DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Applied Dynamics Applied Statics Basic Electrical Technology Computer & Program Design Engineering Graphics Communication Engineering Mathematics I Engineering Mathematics II Principles of Thermodynamics Strength of Materials Workshop Technology Year 2 Applied Thermodynamics Engineering Mathematics III Fluid Mechanics Introduction to Electrical Power and Machines Materials Science Machine Component Design I Manufacturing and Operations Management Mechanics of Materials Measurement and Instrumentation Microprocessor Systems & Interfacing Theory of Machines Year 3 CAD/CAM Capstone Design Project Computational Method for Mechanical Engineering Fluid Dynamics Heat Transfer Industrial Management Industrial Training Machine Component Design II Year 4 Control Engineering Mechanical Vibrations Project (Part 1) Project (Part 2) Elective Modules Additive Manufacturing Energy Technologies Finite Element Method Quality Engineering Semiconductor Packaging and Test Artificial Intelligence and Applications Computational Fluid Dynamics Operations Research Robotics and Automation Tribology Ergonomic and Human Factor Internal Combustion Engines Materials Engineering Heating, Ventilation and Air Conditioning Systems IoT Design and Interfacing Theory of Inventive Problem Solving (TRIZ) University Subjects and Mata Pelajaran Umum (MPU) Communication Skills/Law/Ethics: Engineer and Society Law for Engineers Fundamentals of Digital Competence for Programmers Character Building Program: Character Building Courses Environmental Building MPU Courses: U1 -Falsafah dan Isu Semasa U1- Penghayatan Etika dan Peradaban / Bahasa Melayu Komunikasi 2 U2– Integrity and Leadership U2/U3- Bahasa Kebangsaan A / Any other courses in the U2 or U3 category U4 – Co-Curriculum Career Prospects Mechanical Engineer, Manufacturing/Operations Engineer, Equipment Engineer, Oil & Gas Engineer, Energy Engineer, Researcher Engineer, Project Engineer."
Faculty of Artificial Intelligence & Engineering (FAIE),Master of Engineering Science (By Research),"Fields of Research (but not limited to) 5G Mobile Network & Use Cases Additive Manufacturing Advanced Material & Devices Advanced Signal & Processing Advanced Simulation Artificial Intelligence Big Data Biomedical Engineering Broadband Communications Control System & Signal Processing Cyber Security Electrical Power Systems & Green Energy Embedded System Design Energy Harvesting Intelligent System & Machine Learning Internet of Things (IoT) Mathematical Sciences Nanotechnology Nanomaterials & Nanofabrication Optical Engineering & Photonics Precision Agriculture Robotics & Automation Sustainable Technology VLSI & System-on-Chip (SoC) Entry Requirements A Bachelor’s degree in the field or related fields with a minimum CGPA of 2.75 or equivalent, as accepted by the Senate; or A Bachelor’s degree  in the field or related fields with a minimum CGPA of 2.50 and not meeting CGPA of 2.75 or equivalent, can be accepted subject to rigorous internal assessment; A Bachelor’s degree in the field or related fields with minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment. A Bachelor’s degree in non-related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the Senate, subject to having relevant working experience and rigorous internal assessment A Bachelor’s degree in non-related field with minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment. A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the Senate and without relevant working experience, subject to rigorous internal assessment and passing pre-requisite courses; Other qualifications equivalent to a Bachelor’s degree recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 5.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 1 year, Max. 3 years Part-Time: Min. 2 years, Max. 5 years Intake"
Faculty of Artificial Intelligence & Engineering (FAIE),Doctor of Philosophy (Ph.D.) Engineering (By Research),"Fields of Research (but not limited to) 5G Mobile Network & Use Cases Additive Manufacturing Advanced Material & Devices Advanced Signal & Processing Advanced Simulation Artificial Intelligence Big Data Biomedical Engineering Broadband Communications Control System & Signal Processing Cyber Security Electrical Power Systems & Green Energy Embedded System Design Energy Harvesting Intelligent System & Machine Learning Internet of Things (IoT) Mathematical Sciences Nanotechnology Nanomaterials & Nanofabrication Optical Engineering & Photonics Precision Agriculture Robotics & Automation Sustainable Technology VLSI & System-on-Chip (SoC) Entry Requirements A Master’s degree in the field or related field accepted by the Senate; OR A Master’s degree in non-related fields as accepted by the Senate, and evidence of at least two (2) years relevant working or research experience, subject to rigorous internal assessment; OR A Master’s degree in non-related fields as accepted by the Senate and without relevant working experience, subject to rigorous internal assessment and passing pre-requisite courses; OR A Bachelor’s degree with minimum CGPA of 3.67 or equivalent in the field or related field from MMU or institutions recognised by Senate can be accepted subject to rigorous internal assessment Other qualifications equivalent to a Master’s degree in the field recognised by Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 5.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 2 years, Max. 5 years Part-Time: Min. 3 years, Max. 7 years Intake Throughout the year"
Faculty of Artificial Intelligence & Engineering (FAIE),Master of Science in Engineering Business Management,"Entry Requirements i. A Bachelor’s degree in Engineering/Business/Management or related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the Senate; OR ii. A Bachelor’s degree in Engineering/Business/Management or related fields with a minimum CGPA of 2.00 but not meeting a CGPA of 2.50 or equivalent as accepted by Senate, subject to rigorous internal assessment; OR iii. A Bachelor’s degree in non-related fields with a minimum CGPA of 2.00 or equivalent, and a minimum of 2 years relevant working experience, as accepted by senate, subject to rigorous internal assessment; OR iv. A Bachelor’s degree in non-related fields with a minimum CGPA of 2.00 or equivalent, and not meeting a minimum of 2 years working experience, as accepted by Senate, subject to rigorous internal assessment and passing pre-requisite courses; OR v. Other equivalent/related qualifications to a Bachelor’s degree recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 5.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 IELTS 5.0 5.5 6.0 6.5 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: 1 – 3 years Part-Time: 2 – 5 years Intake • Master of Engineering in Telecommunications: March, October • Master of Science in Engineering Business Management: March, October"
Faculty of Artificial Intelligence & Engineering (FAIE),Master of Engineering in Telecommunications,"Entry Requirements i. A Bachelor’s degree in related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the Senate; OR ii. A Bachelor’s degree in related fields with a minimum CGPA of 2.00 but not meeting a CGPA of 2.50 or equivalent as accepted by Senate, subject to rigorous internal assessment; OR iii. A Bachelor’s degree in non-related fields with a minimum CGPA of 2.00 or equivalent, and a minimum of 2 years relevant working experience, as accepted by senate, subject to rigorous internal assessment; OR iv. A Bachelor’s degree in non-related fields with a minimum CGPA of 2.00 or equivalent, and not meeting a minimum of 2 years working experience, as accepted by Senate, subject to rigorous internal assessment and passing pre-requisite courses; OR v. Other equivalent/related qualifications to a Bachelor’s degree recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 5.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 IELTS 5.0 5.5 6.0 6.5 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: 1 – 3 years Part-Time: 2 – 5 years Intake • Master of Engineering in Telecommunications: March, October • Master of Science in Engineering Business Management: March, October"
Faculty of Artificial Intelligence & Engineering (FAIE),Foundation in Engineering,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects inclusive of English, Mathematics and one Engineering-related subject;OR Pass UEC with a minimum of Grade B in at least four (4) subjects inclusive of Mathematics, English and one Engineering-related subject; OR Other equivalent qualifications recognized by Malaysian Government."
Faculty of Artificial Intelligence & Engineering (FAIE),Bachelor of Science (Hons.) Intelligent Robotics,"Entry Requirements Pass Foundation / Matriculation studies in related field from a recognised institution with a minimum CGPA of 2.50; OR Pass STPM or its equivalent with a minimum Grade C (GP 2.00) in any 3 subjects inclusive of Mathematics and Physics; OR Pass A-Level with a minimum of Grade D in any three (3) subjects inclusive of Mathematics and Physics; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and Physics; OR Recognised Diploma in the related field with a minimum CGPA of 2.50 or its equivalent;* OR Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.** OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a/ Note *Candidates with CGPA below 2.50 but above 2.0 may be admitted subject to a rigorous internal assessment process. **DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Engineering Calculus Computer and programming Micro-controllers & micro-processors Electrical circuits Basic electronics Differential equations Digital design Linear algebra and numerical methods Rapid modelling Analog electronics Year 2 Linear systems & signals Electromagnetics with applications Electrical machines and power systems Robotics – Machine design and mechanisms Introduction to artificial intelligence Actuators and sensors Electronics instrumentation Robotics – Modelling and control Feedback control Advanced programming Internship Year 3 Mobile robots and drones Machine learning concepts and technologies Project I Project II Machine vision & image processing Elective Modules Hardware Track IOT systems & applications Electronic prototyping and PCB (printed circuit board) layout Making embedded systems Industrial automation and digital control Signal and power integrity Software Track Cybersecurity Software engineering fundamentals Introduction to data science Neural networks and deep learning Robot programming University Subjects MPU-U1: TITAS (local)/Bahasa Melayu Komunikasi 2 (international) MPU-U1 Hubungan etnik (local)/Pengajian Malaysia 3 (international) MPU-U2 Bahasa kebangsaan A/Foreign language*/ Entrepreneurship in Cross Border E-Commerce/ Business and Entrepreneurship In Malaysia MPU-U3 Introduction to multicultural studies in Malaysia/ Introduction to Malaysian Economy/ Islamic Institutions In Malaysia/ Introduction to Multicultural Studies in Malaysia/ Stress and Well-Being Among Malaysians MPU-U4 Co-curriculum Workplace Communications Career Prospects Robotics System Designer/Programmers, AI and Machine Learning Developer, Embedded System Designer, Control and Automation Specialist, Field Application Technologist, Printed Circuit Board (PCB) Designer, Production and Planning Engineer, Industry 4.0 Technologist"
